Gamma, Selfish Profit, Selfish Hash Rate, Honest Hash Rate
0.01, 0.0371725, 0.05, 0.962827
0.01, 0.0324266, 0.05, 0.967573
0.01, 0.033385, 0.05, 0.966615
0.01, 0.0288366, 0.05, 0.971163
0.01, 0.0384499, 0.05, 0.96155
0.01, 0.0372578, 0.05, 0.962742
0.01, 0.0355835, 0.05, 0.964417
0.01, 0.0455828, 0.05, 0.954417
0.01, 0.0360495, 0.05, 0.963951
0.01, 0.0301459, 0.05, 0.969854
0.01, 0.0384882, 0.05, 0.961512
0.01, 0.0343378, 0.05, 0.965662
0.01, 0.0288549, 0.05, 0.971145
0.01, 0.0311098, 0.05, 0.96889
0.01, 0.0340986, 0.05, 0.965901
0.01, 0.0321213, 0.05, 0.967879
0.01, 0.0333686, 0.05, 0.966631
0.01, 0.0318434, 0.05, 0.968157
0.01, 0.030631, 0.05, 0.969369
0.01, 0.0355049, 0.05, 0.964495
0.01, 0.0388338, 0.05, 0.961166
0.01, 0.0375673, 0.05, 0.962433
0.01, 0.031693, 0.05, 0.968307
0.01, 0.0346483, 0.05, 0.965352
0.01, 0.0343533, 0.05, 0.965647
0.01, 0.0358849, 0.05, 0.964115
0.01, 0.0260036, 0.05, 0.973996
0.01, 0.0338614, 0.05, 0.966139
0.01, 0.035653, 0.05, 0.964347
0.01, 0.0336305, 0.05, 0.966369
0.01, 0.0272559, 0.05, 0.972744
0.01, 0.036404, 0.05, 0.963596
0.01, 0.032806, 0.05, 0.967194
0.01, 0.0262207, 0.05, 0.973779
0.01, 0.0300465, 0.05, 0.969954
0.01, 0.0376588, 0.05, 0.962341
0.01, 0.0347205, 0.05, 0.965279
0.01, 0.0393004, 0.05, 0.9607
0.01, 0.0355755, 0.05, 0.964425
0.01, 0.0320168, 0.05, 0.967983
0.01, 0.0342946, 0.05, 0.965705
0.01, 0.0322013, 0.05, 0.967799
0.01, 0.0319748, 0.05, 0.968025
0.01, 0.0320524, 0.05, 0.967948
0.01, 0.040275, 0.05, 0.959725
0.01, 0.0375521, 0.05, 0.962448
0.01, 0.0313769, 0.05, 0.968623
0.01, 0.0361889, 0.05, 0.963811
0.01, 0.031178, 0.05, 0.968822
0.01, 0.0331968, 0.05, 0.966803
0.01, 0.0350944, 0.05, 0.964906
0.01, 0.034463, 0.05, 0.965537
0.01, 0.0326432, 0.05, 0.967357
0.01, 0.0307766, 0.05, 0.969223
0.01, 0.0298637, 0.05, 0.970136
0.01, 0.0392687, 0.05, 0.960731
0.01, 0.0380639, 0.05, 0.961936
0.01, 0.0324729, 0.05, 0.967527
0.01, 0.0263038, 0.05, 0.973696
0.01, 0.036713, 0.05, 0.963287
0.01, 0.0325832, 0.05, 0.967417
0.01, 0.0406665, 0.06, 0.959334
0.01, 0.0407446, 0.06, 0.959255
0.01, 0.0413878, 0.06, 0.958612
0.01, 0.0427268, 0.06, 0.957273
0.01, 0.0535774, 0.06, 0.946423
0.01, 0.0391668, 0.06, 0.960833
0.01, 0.0430578, 0.06, 0.956942
0.01, 0.0475089, 0.06, 0.952491
0.01, 0.0525933, 0.06, 0.947407
0.01, 0.0447781, 0.06, 0.955222
0.01, 0.0432922, 0.06, 0.956708
0.01, 0.0475836, 0.06, 0.952416
0.01, 0.0459565, 0.06, 0.954043
0.01, 0.0462781, 0.06, 0.953722
0.01, 0.0457024, 0.06, 0.954298
0.01, 0.0425225, 0.06, 0.957478
0.01, 0.0434557, 0.06, 0.956544
0.01, 0.0394782, 0.06, 0.960522
0.01, 0.0455819, 0.06, 0.954418
0.01, 0.0524712, 0.06, 0.947529
0.01, 0.0396727, 0.06, 0.960327
0.01, 0.0457131, 0.06, 0.954287
0.01, 0.0452665, 0.06, 0.954733
0.01, 0.0484141, 0.06, 0.951586
0.01, 0.0474631, 0.06, 0.952537
0.01, 0.0477861, 0.06, 0.952214
0.01, 0.0405991, 0.06, 0.959401
0.01, 0.0409455, 0.06, 0.959054
0.01, 0.0406468, 0.06, 0.959353
0.01, 0.0487248, 0.06, 0.951275
0.01, 0.0424171, 0.06, 0.957583
0.01, 0.0409834, 0.06, 0.959017
0.01, 0.0441854, 0.06, 0.955815
0.01, 0.0432424, 0.06, 0.956758
0.01, 0.0465254, 0.06, 0.953475
0.01, 0.048156, 0.06, 0.951844
0.01, 0.0470024, 0.06, 0.952998
0.01, 0.0469229, 0.06, 0.953077
0.01, 0.0448077, 0.06, 0.955192
0.01, 0.0513453, 0.06, 0.948655
0.01, 0.0521471, 0.06, 0.947853
0.01, 0.0398624, 0.06, 0.960138
0.01, 0.0472075, 0.06, 0.952793
0.01, 0.044363, 0.06, 0.955637
0.01, 0.0516433, 0.06, 0.948357
0.01, 0.0461276, 0.06, 0.953872
0.01, 0.0472893, 0.06, 0.952711
0.01, 0.052828, 0.06, 0.947172
0.01, 0.0494653, 0.06, 0.950535
0.01, 0.0367119, 0.06, 0.963288
0.01, 0.0489535, 0.06, 0.951047
0.01, 0.0470822, 0.06, 0.952918
0.01, 0.0533158, 0.06, 0.946684
0.01, 0.0455596, 0.06, 0.95444
0.01, 0.0400172, 0.06, 0.959983
0.01, 0.0472549, 0.06, 0.952745
0.01, 0.0469764, 0.06, 0.953024
0.01, 0.0495278, 0.06, 0.950472
0.01, 0.0503253, 0.06, 0.949675
0.01, 0.0468413, 0.06, 0.953159
0.01, 0.0458825, 0.06, 0.954117
0.01, 0.0421072, 0.06, 0.957893
0.01, 0.0453321, 0.06, 0.954668
0.01, 0.0377854, 0.06, 0.962215
0.01, 0.0441719, 0.06, 0.955828
0.01, 0.0449578, 0.06, 0.955042
0.01, 0.0372985, 0.06, 0.962701
0.01, 0.0391381, 0.06, 0.960862
0.01, 0.0495441, 0.06, 0.950456
0.01, 0.0421658, 0.06, 0.957834
0.01, 0.0428449, 0.06, 0.957155
0.01, 0.047001, 0.06, 0.952999
0.01, 0.0423922, 0.06, 0.957608
0.01, 0.0447479, 0.06, 0.955252
0.01, 0.0481607, 0.06, 0.951839
0.01, 0.0441311, 0.06, 0.955869
0.01, 0.0453355, 0.06, 0.954665
0.01, 0.053385, 0.06, 0.946615
0.01, 0.0473718, 0.06, 0.952628
0.01, 0.0422872, 0.06, 0.957713
0.01, 0.0442025, 0.06, 0.955798
0.01, 0.0501422, 0.06, 0.949858
0.01, 0.0478873, 0.06, 0.952113
0.01, 0.0467075, 0.06, 0.953292
0.01, 0.0532603, 0.06, 0.94674
0.01, 0.0456779, 0.06, 0.954322
0.01, 0.0441149, 0.06, 0.955885
0.01, 0.0442133, 0.06, 0.955787
0.01, 0.0471044, 0.06, 0.952896
0.01, 0.0441056, 0.06, 0.955894
0.01, 0.0484718, 0.06, 0.951528
0.01, 0.0442727, 0.06, 0.955727
0.01, 0.0460394, 0.06, 0.953961
0.01, 0.0394303, 0.06, 0.96057
0.01, 0.0507034, 0.06, 0.949297
0.01, 0.0435248, 0.06, 0.956475
0.01, 0.0457108, 0.06, 0.954289
0.01, 0.0464546, 0.06, 0.953545
0.01, 0.0521478, 0.06, 0.947852
0.01, 0.048682, 0.06, 0.951318
0.01, 0.0621776, 0.07, 0.937822
0.01, 0.0551065, 0.07, 0.944894
0.01, 0.0673332, 0.07, 0.932667
0.01, 0.0568731, 0.07, 0.943127
0.01, 0.0629304, 0.07, 0.93707
0.01, 0.0564154, 0.07, 0.943585
0.01, 0.0583489, 0.07, 0.941651
0.01, 0.0606229, 0.07, 0.939377
0.01, 0.0616281, 0.07, 0.938372
0.01, 0.0481623, 0.07, 0.951838
0.01, 0.0577191, 0.07, 0.942281
0.01, 0.0581868, 0.07, 0.941813
0.01, 0.0637122, 0.07, 0.936288
0.01, 0.0558338, 0.07, 0.944166
0.01, 0.0606166, 0.07, 0.939383
0.01, 0.065545, 0.07, 0.934455
0.01, 0.062964, 0.07, 0.937036
0.01, 0.0609447, 0.07, 0.939055
0.01, 0.0553552, 0.07, 0.944645
0.01, 0.0508359, 0.07, 0.949164
0.01, 0.0604402, 0.07, 0.93956
0.01, 0.0623847, 0.07, 0.937615
0.01, 0.0602863, 0.07, 0.939714
0.01, 0.0540625, 0.07, 0.945937
0.01, 0.053435, 0.07, 0.946565
0.01, 0.0517538, 0.07, 0.948246
0.01, 0.0604984, 0.07, 0.939502
0.01, 0.0627195, 0.07, 0.93728
0.01, 0.0541684, 0.07, 0.945832
